tag,aega_min,aega_max,aega_step,pc,pm_high,pm_low,sbx_eta_rw,pm_eta_rw,hv,igd,wall_s,cpu_s
aega_180_260_20_pc0.98_pm0.40_0.08_rw2.0_8,180,260,20,0.98,0.40,0.08,2.0,8,0.559707,0.349973,0.673,0.659
aega_180_260_20_pc0.98_pm0.40_0.08_rw2.5_3,180,260,20,0.98,0.40,0.08,2.5,3,0.184965,0.670274,0.625,0.612
aega_180_260_20_pc0.98_pm0.40_0.08_rw2.5_5,180,260,20,0.98,0.40,0.08,2.5,5,0.381817,0.459143,0.654,0.643
aega_180_260_20_pc0.98_pm0.40_0.08_rw2.5_8,180,260,20,0.98,0.40,0.08,2.5,8,0.517927,0.323407,0.649,0.646
aega_180_260_20_pc0.98_pm0.40_0.08_rw3.0_3,180,260,20,0.98,0.40,0.08,3.0,3,0.372922,0.463624,0.590,0.586
aega_180_260_20_pc0.98_pm0.40_0.08_rw3.0_5,180,260,20,0.98,0.40,0.08,3.0,5,0.443304,0.392789,0.696,0.680
aega_180_260_20_pc0.98_pm0.40_0.08_rw3.0_8,180,260,20,0.98,0.40,0.08,3.0,8,0.702571,0.222604,0.646,0.643
aega_180_260_20_pc0.98_pm0.40_0.10_rw1.5_3,180,260,20,0.98,0.40,0.10,1.5,3,0.702371,0.223060,0.650,0.648
aega_180_260_20_pc0.98_pm0.40_0.10_rw1.5_5,180,260,20,0.98,0.40,0.10,1.5,5,0.558039,0.355134,0.660,0.653
aega_180_260_20_pc0.98_pm0.40_0.10_rw1.5_8,180,260,20,0.98,0.40,0.10,1.5,8,0.781308,0.128622,0.654,0.651
aega_180_260_20_pc0.98_pm0.40_0.10_rw2.0_3,180,260,20,0.98,0.40,0.10,2.0,3,0.701131,0.223814,0.683,0.669
aega_180_260_20_pc0.98_pm0.40_0.10_rw2.0_5,180,260,20,0.98,0.40,0.10,2.0,5,0.702846,0.222719,0.658,0.653
aega_180_260_20_pc0.98_pm0.40_0.10_rw2.0_8,180,260,20,0.98,0.40,0.10,2.0,8,0.702845,0.222716,0.681,0.666
aega_180_260_20_pc0.98_pm0.40_0.10_rw2.5_3,180,260,20,0.98,0.40,0.10,2.5,3,0.492574,0.379429,0.714,0.693
aega_180_260_20_pc0.98_pm0.40_0.10_rw2.5_5,180,260,20,0.98,0.40,0.10,2.5,5,0.263121,0.583025,0.593,0.589
aega_180_260_20_pc0.98_pm0.40_0.10_rw2.5_8,180,260,20,0.98,0.40,0.10,2.5,8,0.368287,0.464616,0.629,0.605
aega_180_260_20_pc0.98_pm0.40_0.10_rw3.0_3,180,260,20,0.98,0.40,0.10,3.0,3,0.561895,0.348681,0.647,0.644
aega_180_260_20_pc0.98_pm0.40_0.10_rw3.0_5,180,260,20,0.98,0.40,0.10,3.0,5,0.702731,0.222775,0.692,0.675
aega_180_260_20_pc0.98_pm0.40_0.10_rw3.0_8,180,260,20,0.98,0.40,0.10,3.0,8,0.702290,0.222880,0.644,0.641
